code,value
ALFAS,3
BRSAN,3
ENJSA,3
FROTO,3
MAVI,3
SKBNK,3
AKCNS,6
ASTOR,6
BUCIM,6
CANTE,6
ODAS,6
SOKM,6
KAYSE,8
BERA,9
CIMSA,9
GWIND,9
KRDMD,9
OYAKC,9
DOAS,10
GUBRF,10
KARSN,10
ARCLK,11
BIENY,11
HEKTS,11
KONYA,11
ULKER,11
AKBNK,12
AKSEN,12
ENKAI,12
MGROS,12
TKFEN,12
ALARK,13
PETKM,13
VESTL,14
AKFYE,16
TUPRS,16
MIATK,17
TAVHL,17
ZOREN,17
AKSA,18
ASELS,19
EGEEN,20
IMASM,20
PGSUS,22
TTKOM,22
VESBE,22
KOZAA,23
PENTA,23
SASA,23
IZDMC,27
KCHOL,27
KORDS,27
SAHOL,27
KOZAL,28
DOHOL,30
ECILC,30
AGHOL,31
KZBGY,31
GARAN,34
PSGYO,35
VAKBN,35
ALBRK,36
BRYAT,36
HALKB,36
EKGYO,38
GLYHO,39
TSKB,41
THYAO,42
CCOLA,43
ISGYO,43
IPEKE,44
AEFES,45
ECZYT,47
ISCTR,49
EUPWR,50
EREGL,53
KONTR,57
KMPUR,58
TCELL,58
OTKAR,59
GESAN,64
KCAER,64
YKBNK,66
EUREN,67
TTRAK,68
QUAGR,69
AKFGY,70
SISE,72
SMRTG,73
CWENE,77
TOASO,82
BIMAS,85
YYLGD,86
ISMEN,98
ISDMR,110
GENIL,124
